houseid,description,price,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,city,province
150,"RFO 4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani 99sqm",7503000.0,4.0,3.0,83.0,99.0,15.468244,120.9764138,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
151,"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Carmela",8915000.0,3.0,2.0,66.0,121.0,15.468244,120.9764138,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
152,"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Mika 63sqm",4458000.0,2.0,1.0,46.0,63.0,15.468244,120.9764138,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
153,"For Sale RFO 2BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm",4454000.0,2.0,1.0,40.0,63.0,15.468244,120.9764138,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
154,RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle Combo Lot 96sqm,5174000.0,2.0,1.0,46.0,96.0,15.4777848,120.6140745,Camella Tarlac Access Rd. Maliwalo,Tarlac
155,"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Mika 60sqm",4633000.0,2.0,1.0,46.0,60.0,15.468244,120.9764138,Emilio Vergara Hwy Santa Arcadia,Cabanatuan
156,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",26393000.0,3.0,3.0,219.3,91.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
157,"2BR House and Lot for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Nest",4710000.0,2.0,2.0,72.0,121.0,15.0924892,120.6827977,Divisoria,Mexico
158,Futura Homes Koronadal | Amber 2BR Townhouse Inner Unit for Sale in South Cotabato | Futura by Filinvest,2683000.0,2.0,1.0,40.3,50.4,6.4918813,124.7994309,Purok Hurtado Concepcion,Koronadal
159,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit (Garden Unit)",28348000.0,3.0,3.0,219.3,105.0,14.4321626,121.0452418,Km. 19 West Service Rd. Cupang,Muntinlupa
